Topic ID,Topic Name,Field ID,Field Name,Domain Name
T14423,Military Technology and Strategies,22,Engineering,Physical Sciences
T10346,Magnetic confinement fusion research,31,Physics and Astronomy,Physical Sciences
T13370,Diverse Scientific and Economic Studies,20,"Economics, Econometrics and Finance",Social Sciences
T12157,Geochemistry and Geologic Mapping,17,Computer Science,Physical Sciences
T10451,Mycorrhizal Fungi and Plant Interactions,11,Agricultural and Biological Sciences,Life Sciences
T10978,Prenatal Screening and Diagnostics,27,Medicine,Health Sciences
T11367,Particle accelerators and beam dynamics,22,Engineering,Physical Sciences
T10895,Species Distribution and Climate Change,23,Environmental Science,Physical Sciences
T12859,Cell Image Analysis Techniques,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T12692,Magnetic Field Sensors Techniques,22,Engineering,Physical Sciences
T13497,Hermeneutics and Narrative Identity,12,Arts and Humanities,Social Sciences
T13638,Human auditory perception and evaluation,22,Engineering,Physical Sciences
T10781,Plasma Diagnostics and Applications,22,Engineering,Physical Sciences
T12760,Laser Design and Applications,22,Engineering,Physical Sciences
T11893,German Literature and Culture Studies,12,Arts and Humanities,Social Sciences
T11881,Crystallization and Solubility Studies,25,Materials Science,Physical Sciences
T10384,Laser-Plasma Interactions and Diagnostics,31,Physics and Astronomy,Physical Sciences
T11475,French Urban and Social Studies,33,Social Sciences,Social Sciences
T11803,Superconducting and THz Device Technology,31,Physics and Astronomy,Physical Sciences
T10165,Classical Antiquity Studies,33,Social Sciences,Social Sciences
T10015,Genomics and Phylogenetic Studies,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T11044,Particle Detector Development and Performance,31,Physics and Astronomy,Physical Sciences
T10941,Musicology and Musical Analysis,12,Arts and Humanities,Social Sciences
T10733,Wheat and Barley Genetics and Pathology,11,Agricultural and Biological Sciences,Life Sciences
T14380,Libraries and Information Services,12,Arts and Humanities,Social Sciences
T13958,"Education, Innovation and Language Studies",33,Social Sciences,Social Sciences
T12837,American Environmental and Regional History,23,Environmental Science,Physical Sciences
T11175,Gyrotron and Vacuum Electronics Research,31,Physics and Astronomy,Physical Sciences
T11662,Legal Cases and Commentary,27,Medicine,Health Sciences
T11926,Subterranean biodiversity and taxonomy,19,Earth and Planetary Sciences,Physical Sciences
T13445,American Constitutional Law and Politics,33,Social Sciences,Social Sciences
T10591,Theoretical and Computational Physics,31,Physics and Astronomy,Physical Sciences
T10048,Particle physics theoretical and experimental studies,31,Physics and Astronomy,Physical Sciences
T10251,Solar and Space Plasma Dynamics,31,Physics and Astronomy,Physical Sciences
T11986,Scientific Computing and Data Management,18,Decision Sciences,Social Sciences
T13085,"Education, Psychology, and Social Research",33,Social Sciences,Social Sciences
T10744,Astrophysical Phenomena and Observations,31,Physics and Astronomy,Physical Sciences
T12565,Physics and Engineering Research Articles,22,Engineering,Physical Sciences
T10252,Microbial Natural Products and Biosynthesis,27,Medicine,Health Sciences
T11974,Lepidoptera: Biology and Taxonomy,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T13650,Computational Physics and Python Applications,17,Computer Science,Physical Sciences
T10362,Biblical Studies and Interpretation,12,Arts and Humanities,Social Sciences
T12633,Legal case studies and regulations,33,Social Sciences,Social Sciences
T12930,Biomedical and Chemical Research,27,Medicine,Health Sciences
T10017,Geology and Paleoclimatology Research,19,Earth and Planetary Sciences,Physical Sciences
T10893,Chinese history and philosophy,33,Social Sciences,Social Sciences
T12409,Reformation and Early Modern Christianity,12,Arts and Humanities,Social Sciences
T10885,Gene expression and cancer classification,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10001,Geological and Geochemical Analysis,19,Earth and Planetary Sciences,Physical Sciences
T11937,Research Data Management Practices,17,Computer Science,Physical Sciences
T11993,Atomic and Subatomic Physics Research,31,Physics and Astronomy,Physical Sciences
T12713,Forest Ecology and Biodiversity Studies,11,Agricultural and Biological Sciences,Life Sciences
T12552,Fetal and Pediatric Neurological Disorders,27,Medicine,Health Sciences
T13167,"Historical, Literary, and Cultural Studies",12,Arts and Humanities,Social Sciences
T13459,Public Administration and Political Analysis,33,Social Sciences,Social Sciences
T12826,Education Methods and Technologies,33,Social Sciences,Social Sciences
T13297,History and advancements in chemistry,16,Chemistry,Physical Sciences
T11312,Soil Moisture and Remote Sensing,23,Environmental Science,Physical Sciences
T13710,European and International Law Studies,33,Social Sciences,Social Sciences
T13641,Historical Studies and Socio-cultural Analysis,12,Arts and Humanities,Social Sciences
T12836,History and Developments in Astronomy,31,Physics and Astronomy,Physical Sciences
T12797,History of Computing Technologies,17,Computer Science,Physical Sciences
T12455,Mediterranean and Iberian flora and fauna,11,Agricultural and Biological Sciences,Life Sciences
T13884,Educational Leadership and Practices,33,Social Sciences,Social Sciences
T12917,Astronomy and Astrophysical Research,31,Physics and Astronomy,Physical Sciences
T12527,Chemistry and Stereochemistry Studies,16,Chemistry,Physical Sciences
T12012,Diatoms and Algae Research,25,Materials Science,Physical Sciences
T13624,Social Sciences and Policies,33,Social Sciences,Social Sciences
T10995,Methane Hydrates and Related Phenomena,23,Environmental Science,Physical Sciences
T13396,Agriculture and Rural Development Research,11,Agricultural and Biological Sciences,Life Sciences
T12954,Law and Political Science,33,Social Sciences,Social Sciences
T13937,"Genetics, Bioinformatics, and Biomedical Research",13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T10325,Astro and Planetary Science,31,Physics and Astronomy,Physical Sciences
T12983,Satellite Image Processing and Photogrammetry,22,Engineering,Physical Sciences
T10597,Nuclear reactor physics and engineering,22,Engineering,Physical Sciences
T10290,Pregnancy and preeclampsia studies,27,Medicine,Health Sciences
T11776,Irish and British Studies,33,Social Sciences,Social Sciences
T12454,European Political History Analysis,12,Arts and Humanities,Social Sciences
T13602,Educational Methods and Media Use,17,Computer Science,Physical Sciences
T13532,Education Systems and Policy,33,Social Sciences,Social Sciences
T13130,Biological and pharmacological studies of plants,27,Medicine,Health Sciences
T13033,Social Sciences and Governance,33,Social Sciences,Social Sciences
T11198,Japanese History and Culture,33,Social Sciences,Social Sciences
T11405,Geophysics and Gravity Measurements,19,Earth and Planetary Sciences,Physical Sciences
T12618,Botany and Plant Ecology Studies,11,Agricultural and Biological Sciences,Life Sciences
T13275,Medical and Health Sciences Research,27,Medicine,Health Sciences
T13015,"Botany, Ecology, and Taxonomy Studies",11,Agricultural and Biological Sciences,Life Sciences
T12768,Linguistics and language evolution,12,Arts and Humanities,Social Sciences
T10181,Natural Language Processing Techniques,17,Computer Science,Physical Sciences
T12568,Plant Taxonomy and Phylogenetics,11,Agricultural and Biological Sciences,Life Sciences
T13372,Archaeology and Historical Studies,12,Arts and Humanities,Social Sciences
T12765,"Race, History, and American Society",33,Social Sciences,Social Sciences
T13556,Historical Influence and Diplomacy,33,Social Sciences,Social Sciences
T10385,Plant Diversity and Evolution,11,Agricultural and Biological Sciences,Life Sciences
T11857,Archaeological and Historical Studies,12,Arts and Humanities,Social Sciences
T12021,Social and Educational Sciences,33,Social Sciences,Social Sciences
T10487,Plant and animal studies,11,Agricultural and Biological Sciences,Life Sciences
T12170,History and Theory of Mathematics,26,Mathematics,Physical Sciences
T11468,Genetic Mapping and Diversity in Plants and Animals,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T11530,Business and Management Studies,18,Decision Sciences,Social Sciences
T12990,Medical History and Innovations,12,Arts and Humanities,Social Sciences
T11841,Nuclear Structure and Function,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T12613,X-ray Diffraction in Crystallography,25,Materials Science,Physical Sciences
T10039,"Stellar, planetary, and galactic studies",31,Physics and Astronomy,Physical Sciences
T11583,Advanced Measurement and Metrology Techniques,22,Engineering,Physical Sciences
T12510,Magneto-Optical Properties and Applications,22,Engineering,Physical Sciences
T10037,Physics of Superconductivity and Magnetism,31,Physics and Astronomy,Physical Sciences
T12645,European history and politics,33,Social Sciences,Social Sciences
T12254,Machine Learning in Bioinformatics,13,"Biochemistry, Genetics and Molecular Biology",Life Sciences
T11494,Coleoptera Taxonomy and Distribution,11,Agricultural and Biological Sciences,Life Sciences
T10908,Analytical Chemistry and Chromatography,16,Chemistry,Physical Sciences
T10559,Particle Accelerators and Free-Electron Lasers,22,Engineering,Physical Sciences
T14335,Educational Robotics and Engineering,17,Computer Science,Physical Sciences
T10391,Healthcare Policy and Management,20,"Economics, Econometrics and Finance",Social Sciences
T10332,Amphibian and Reptile Biology,23,Environmental Science,Physical Sciences
T12909,French Historical and Cultural Studies,12,Arts and Humanities,Social Sciences
T10259,Sociology and Education Studies,33,Social Sciences,Social Sciences
T14162,Historical and Literary Studies,33,Social Sciences,Social Sciences
