Topic ID,Topic Name,af_oa,af_oa_diamond,pass_af_oa,pass_af_oa_diamond
T14423,Military Technology and Strategies,79228,14929,True,True
T10346,Magnetic confinement fusion research,34291,3210,True,False
T13370,Diverse Scientific and Economic Studies,249579,15937,True,True
T12157,Geochemistry and Geologic Mapping,39174,6167,True,False
T10451,Mycorrhizal Fungi and Plant Interactions,25528,3513,True,False
T10978,Prenatal Screening and Diagnostics,17902,2163,True,False
T11367,Particle accelerators and beam dynamics,23410,2550,True,False
T10895,Species Distribution and Climate Change,40387,4421,True,False
T12859,Cell Image Analysis Techniques,18812,1184,True,False
T12692,Magnetic Field Sensors Techniques,4758,734,False,False
T13497,Hermeneutics and Narrative Identity,217529,1572,True,False
T13638,Human auditory perception and evaluation,94928,7669,True,False
T10781,Plasma Diagnostics and Applications,16672,2065,True,False
T12760,Laser Design and Applications,8927,1193,False,False
T11893,German Literature and Culture Studies,5585,793,False,False
T11881,Crystallization and Solubility Studies,11307,1204,True,False
T10384,Laser-Plasma Interactions and Diagnostics,17618,2537,True,False
T11475,French Urban and Social Studies,10305,1680,True,False
T11803,Superconducting and THz Device Technology,4825,374,False,False
T10165,Classical Antiquity Studies,27804,4754,True,False
T10015,Genomics and Phylogenetic Studies,55516,7796,True,False
T11044,Particle Detector Development and Performance,22733,2167,True,False
T10941,Musicology and Musical Analysis,26437,3582,True,False
T10733,Wheat and Barley Genetics and Pathology,20529,3707,True,False
T14380,Libraries and Information Services,2036,218,False,False
T13958,"Education, Innovation and Language Studies",30519,11008,True,True
T12837,American Environmental and Regional History,32177,1782,True,False
T11175,Gyrotron and Vacuum Electronics Research,8980,1412,False,False
T11662,Legal Cases and Commentary,16374,1201,True,False
T11926,Subterranean biodiversity and taxonomy,6242,1101,False,False
T13445,American Constitutional Law and Politics,57984,5030,True,False
T10591,Theoretical and Computational Physics,33357,1756,True,False
T10048,Particle physics theoretical and experimental studies,135003,18666,True,True
T10251,Solar and Space Plasma Dynamics,64043,3977,True,False
T11986,Scientific Computing and Data Management,34062,2475,True,False
T13085,"Education, Psychology, and Social Research",6004,2199,False,False
T10744,Astrophysical Phenomena and Observations,42690,1911,True,False
T12565,Physics and Engineering Research Articles,3252,326,False,False
T10252,Microbial Natural Products and Biosynthesis,23071,2506,True,False
T11974,Lepidoptera: Biology and Taxonomy,22563,2792,True,False
T13650,Computational Physics and Python Applications,15146,2260,True,False
T10362,Biblical Studies and Interpretation,36920,5729,True,False
T12633,Legal case studies and regulations,20089,1389,True,False
T12930,Biomedical and Chemical Research,2371,217,False,False
T10017,Geology and Paleoclimatology Research,76656,5783,True,False
T10893,Chinese history and philosophy,33162,9319,True,False
T12409,Reformation and Early Modern Christianity,16473,2614,True,False
T10885,Gene expression and cancer classification,20975,1547,True,False
T10001,Geological and Geochemical Analysis,64765,6636,True,False
T11937,Research Data Management Practices,21698,2905,True,False
T11993,Atomic and Subatomic Physics Research,17524,1459,True,False
T12713,Forest Ecology and Biodiversity Studies,10745,1567,True,False
T12552,Fetal and Pediatric Neurological Disorders,8121,1115,False,False
T13167,"Historical, Literary, and Cultural Studies",2638,458,False,False
T13459,Public Administration and Political Analysis,2061,313,False,False
